2023-10-31,1.0036
2023-11-01,1.0037
2023-11-02,1.0038
2023-11-03,1.0039
2023-11-06,1.0041
2023-11-07,1.0041
2023-11-08,1.0042
2023-11-09,1.0043
2023-11-10,1.0044
2023-11-13,1.0046
2023-11-14,1.0047
2023-11-15,1.0048
2023-11-16,1.0048
2023-11-17,1.0049
2023-11-20,1.0051
2023-11-21,1.0051
2023-11-22,1.0051
2023-11-23,1.0052
2023-11-24,1.0053
2023-11-27,1.0054
2023-11-28,1.0055
2023-11-29,1.0056
2023-11-30,1.0057
2023-12-01,1.0057
2023-12-04,1.0059
2023-12-05,1.0059
2023-12-06,1.0059
2023-12-07,1.0059
2023-12-08,1.006
2023-12-11,1.0062
2023-12-12,1.0062
2023-12-13,1.0063
2023-12-14,1.0064
2023-12-15,1.0065
2023-12-18,1.0067
2023-12-19,1.0068
2023-12-20,1.0069
2023-12-21,1.0069
2023-12-22,1.007
2023-12-25,1.0072
2023-12-26,1.0074
2023-12-27,1.0075
2023-12-28,1.0076
2023-12-29,1.0078
2024-01-02,1.0079
2024-01-03,1.008
2024-01-04,1.008
2024-01-05,1.0081
2024-01-08,1.0083
2024-01-09,1.0084
2024-01-10,1.0085
2024-01-11,1.0085
2024-01-12,1.0086
2024-01-15,1.0088
2024-01-16,1.0088
2024-01-17,1.0089
2024-01-18,1.009
2024-01-19,1.0091
2024-01-22,1.0092
2024-01-23,1.0093
2024-01-24,1.0094
2024-01-25,1.0095
2024-01-26,1.0095
2024-01-29,1.0097
2024-01-30,1.0098
2024-01-31,1.0099
2024-02-01,1.01
2024-02-02,1.01
2024-02-05,1.0102
2024-02-06,1.0102
2024-02-07,1.0103
2024-02-08,1.0104
2024-02-19,1.0109
2024-02-20,1.011
2024-02-21,1.0111
2024-02-22,1.0112
2024-02-23,1.0113
2024-02-26,1.0114
2024-02-27,1.0116
2024-02-28,1.0117
2024-02-29,1.0118
2024-03-01,1.0118
2024-03-04,1.012
2024-03-05,1.0121
2024-03-06,1.0121
2024-03-07,1.0122
2024-03-08,1.0123
2024-03-11,1.0124
2024-03-12,1.0124
2024-03-13,1.0124
2024-03-14,1.0125
2024-03-15,1.0126
2024-03-18,1.0128
2024-03-19,1.0129
2024-03-20,1.0131
2024-03-21,1.0133
2024-03-22,1.0136
2024-03-25,1.014
2024-03-26,1.014
2024-03-27,1.0143
2024-03-28,1.0143
2024-03-29,1.0145
2024-04-01,1.0146
2024-04-02,1.0147
2024-04-03,1.0148
2024-04-08,1.0151
2024-04-09,1.0153
2024-04-10,1.0154
2024-04-11,1.0157
2024-04-12,1.0159
2024-04-15,1.0161
2024-04-16,1.0164
2024-04-17,1.0165
2024-04-18,1.0166
2024-04-19,1.0167
2024-04-22,1.0168
2024-04-23,1.017
2024-04-24,1.017
2024-04-25,1.0172
2024-04-26,1.0173
2024-04-29,1.0174
2024-04-30,1.0175
2024-05-06,1.0179
2024-05-07,1.018
2024-05-08,1.0181
2024-05-09,1.0182
2024-05-10,1.0183
2024-05-13,1.0185
2024-05-14,1.0186
2024-05-15,1.0187
2024-05-16,1.0187
2024-05-17,1.0188
2024-05-20,1.0189
2024-05-21,1.019
2024-05-22,1.0191
2024-05-23,1.0192
2024-05-24,1.0193
2024-05-27,1.0194
2024-05-28,1.0195
2024-05-29,1.0196
2024-05-30,1.0198
2024-05-31,1.02
2024-06-03,1.0202
2024-06-04,1.0204
2024-06-05,1.0208
2024-06-06,1.0211
2024-06-07,1.0214
2024-06-11,1.0217
2024-06-12,1.0219
2024-06-13,1.0221
2024-06-14,1.0224
2024-06-17,1.0225
2024-06-18,1.0229
2024-06-19,1.0232
2024-06-20,1.0235
2024-06-21,1.0237
2024-06-24,1.024
2024-06-25,1.0244
2024-06-26,1.0245
2024-06-27,1.0247
2024-06-28,1.0249
2024-07-01,1.025
2024-07-02,1.0251
2024-07-03,1.0253
2024-07-04,1.0254
2024-07-05,1.0254
2024-07-08,1.0254
2024-07-09,1.0255
2024-07-10,1.0257
2024-07-11,1.0258
2024-07-12,1.0259
2024-07-15,1.0261
2024-07-16,1.0262
2024-07-17,1.0263
2024-07-18,1.0263
2024-07-19,1.0263
2024-07-22,1.0267
2024-07-23,1.0269
2024-07-24,1.027
2024-07-25,1.0272
